Supplemental Table 1- Geographic details of 508 Populus trichocarpa and P. balsamifera accessions and rationalle for exclusion from black cottonwood analyses,,,,,,,,,,,
Accession,Species,Drainage/Location name,Drainage numbera,Location code,Location numberb,Latitude,Longitude,Elevation,Included in 424 accession black cottonwood dataset,Rationalle for exclusion from 424 accession black cottonwood dataset,
STHA-21-4,Populus trichocarpa,Homathko,21,STHA,74,50.816667,-124.483333,239,yes,,
STHA-21-5,Populus trichocarpa,Homathko,21,STHA,74,50.816667,-124.483333,239,yes,,
STHB-21-2,Populus trichocarpa,Homathko,21,STHB,75,50.883333,-124.733333,91,yes,,
STHB-21-3,Populus trichocarpa,Homathko,21,STHB,75,50.883333,-124.733333,91,yes,,
STHB-21-4,Populus trichocarpa,Homathko,21,STHB,75,50.883333,-124.733333,91,yes,,
STHB-21-5,Populus trichocarpa,Homathko,21,STHB,75,50.883333,-124.733333,91,yes,,
PHLA-22-1,Populus trichocarpa,Philips,22,PHLA,76,50.6,-125.316667,5,yes,,
PHLA-22-2,Populus trichocarpa,Philips,22,PHLA,76,50.6,-125.316667,5,yes,,
PHLA-22-3,Populus trichocarpa,Philips,22,PHLA,76,50.6,-125.316667,5,yes,,
PHLA-22-4,Populus trichocarpa,Philips,22,PHLA,76,50.6,-125.316667,5,yes,,
PHLA-22-5,Populus trichocarpa,Philips,22,PHLA,76,50.6,-125.316667,5,yes,,
PHLC-22-1,Populus trichocarpa,Philips,22,PHLC,77,50.683333,-125.25,58,yes,,
PHLC-22-2,Populus trichocarpa,Philips,22,PHLC,77,50.683333,-125.25,58,yes,,
PHLC-22-3,Populus trichocarpa,Philips,22,PHLC,77,50.683333,-125.25,58,yes,,
PHLC-22-4,Populus trichocarpa,Philips,22,PHLC,77,50.683333,-125.25,58,yes,,
PHLC-22-5,Populus trichocarpa,Philips,22,PHLC,77,50.683333,-125.25,58,yes,,
TOBA-23-2,Populus trichocarpa,Toba,23,TOBA,78,50.516667,-124.233333,67,yes,,
TOBA-23-4,Populus trichocarpa,Toba,23,TOBA,78,50.516667,-124.233333,67,yes,,
TOBA-23-5,Populus trichocarpa,Toba,23,TOBA,78,50.516667,-124.233333,67,yes,,
TOBB-23-2,Populus trichocarpa,Toba,23,TOBB,79,50.566667,-124.083333,73,yes,,
TOBB-23-3,Populus trichocarpa,Toba,23,TOBB,79,50.566667,-124.083333,73,yes,,
TOBB-23-4,Populus trichocarpa,Toba,23,TOBB,79,50.566667,-124.083333,73,yes,,
TOBB-23-5,Populus trichocarpa,Toba,23,TOBB,79,50.566667,-124.083333,73,no,low GR,
SKWA-24-2,Populus trichocarpa,Jervis,24,SKWA,80,50.216667,-123.983333,61,yes,,
SKWA-24-3,Populus trichocarpa,Jervis,24,SKWA,80,50.216667,-123.983333,61,yes,,
SKWA-24-4,Populus trichocarpa,Jervis,24,SKWA,80,50.216667,-123.983333,61,yes,,
SKWA-24-5,Populus trichocarpa,Jervis,24,SKWA,80,50.216667,-123.983333,61,yes,,
SKWB-24-2,Populus trichocarpa,Jervis,24,SKWB,81,50.233333,-124,115,yes,,
SKWB-24-3,Populus trichocarpa,Jervis,24,SKWB,81,50.233333,-124,115,yes,,
SKWB-24-4,Populus trichocarpa,Jervis,24,SKWB,81,50.233333,-124,115,yes,,
SKWC-24-1,Populus trichocarpa,Jervis,24,SKWC,82,50.25,-124,152,yes,,
SKWC-24-3,Populus trichocarpa,Jervis,24,SKWC,82,50.25,-124,152,yes,,
SKWC-24-4,Populus trichocarpa,Jervis,24,SKWC,82,50.25,-124,152,yes,,
SKWD-24-1,Populus trichocarpa,Jervis,24,SKWD,83,50.25,-124.016667,323,yes,,
SKWD-24-3,Populus trichocarpa,Jervis,24,SKWD,83,50.25,-124.016667,323,yes,,
SKWD-24-4,Populus trichocarpa,Jervis,24,SKWD,83,50.25,-124.016667,323,yes,,
SKWD-24-5,Populus trichocarpa,Jervis,24,SKWD,83,50.25,-124.016667,323,yes,,
SKWE-24-1,Populus trichocarpa,Jervis,24,SKWE,84,50.216667,-123.95,231,yes,,
SKWE-24-2,Populus trichocarpa,Jervis,24,SKWE,84,50.216667,-123.95,231,yes,,
SKWE-24-3,Populus trichocarpa,Jervis,24,SKWE,84,50.216667,-123.95,231,yes,,
SKWE-24-4,Populus trichocarpa,Jervis,24,SKWE,84,50.216667,-123.95,231,yes,,
SKWE-24-5,Populus trichocarpa,Jervis,24,SKWE,84,50.216667,-123.95,231,yes,,
SKWF-24-2,Populus trichocarpa,Jervis,24,SKWF,85,50.25,-123.933333,244,yes,,
SKWF-24-3,Populus trichocarpa,Jervis,24,SKWF,85,50.25,-123.933333,244,yes,,
SKWF-24-4,Populus trichocarpa,Jervis,24,SKWF,85,50.25,-123.933333,244,yes,,
SKWF-24-5,Populus trichocarpa,Jervis,24,SKWF,85,50.25,-123.933333,244,yes,,
ELAD-25-1,Populus trichocarpa,Squamish,25,ELAD,86,50.25,-123.583333,305,no,d<0.018 with other accession,
ELAD-25-2,Populus trichocarpa,Squamish,25,ELAD,86,50.25,-123.583333,305,no,d<0.018 with other accession,
ELAD-25-3,Populus trichocarpa,Squamish,25,ELAD,86,50.25,-123.583333,305,yes,,
ELAD-25-4,Populus trichocarpa,Squamish,25,ELAD,86,50.25,-123.583333,305,yes,,
ELAD-25-5,Populus trichocarpa,Squamish,25,ELAD,86,50.25,-123.583333,305,yes,,
SQMA-25-1,Populus trichocarpa,Squamish,25,SQMA,87,49.866667,-123.233333,61,yes,,
SQMA-25-3,Populus trichocarpa,Squamish,25,SQMA,87,49.866667,-123.233333,61,no,d<0.018 with other accession,
SQMA-25-4,Populus trichocarpa,Squamish,25,SQMA,87,49.866667,-123.233333,61,yes,,
SQMA-25-5,Populus trichocarpa,Squamish,25,SQMA,87,49.866667,-123.233333,61,yes,,
SQMB-25-3,Populus trichocarpa,Squamish,25,SQMB,88,49.95,-123.3,76,yes,,
SQMB-25-4,Populus trichocarpa,Squamish,25,SQMB,88,49.95,-123.3,76,yes,,
SQMC-25-1,Populus trichocarpa,Squamish,25,SQMC,89,50.1,-123.366667,177,yes,,
SQMC-25-2,Populus trichocarpa,Squamish,25,SQMC,89,50.1,-123.366667,177,yes,,
SQMC-25-4,Populus trichocarpa,Squamish,25,SQMC,89,50.1,-123.366667,177,yes,,
SQMC-25-5,Populus trichocarpa,Squamish,25,SQMC,89,50.1,-123.366667,177,yes,,
TOBA-25-3,Populus trichocarpa,Squamish,25,TOBA,78,50.516667,-124.233333,67,no,d<0.018 with other accession,
GLCA-26-1,Populus trichocarpa,Lillooet,26,GLCA,90,49.866667,-122.45,366,yes,,
GLCB-26-1,Populus trichocarpa,Lillooet,26,GLCB,91,50.1,-123,579,yes,,
GLCB-26-2,Populus trichocarpa,Lillooet,26,GLCB,91,50.1,-123,579,yes,,
GLCB-26-3,Populus trichocarpa,Lillooet,26,GLCB,91,50.1,-123,579,yes,,
GLCB-26-4,Populus trichocarpa,Lillooet,26,GLCB,91,50.1,-123,579,yes,,
HARB-26-1,Populus trichocarpa,Lillooet,26,HARB,92,50.033333,-122.533333,213,yes,,
HARB-26-2,Populus trichocarpa,Lillooet,26,HARB,92,50.033333,-122.533333,213,yes,,
HARB-26-3,Populus trichocarpa,Lillooet,26,HARB,92,50.033333,-122.533333,213,yes,,
HARB-26-4,Populus trichocarpa,Lillooet,26,HARB,92,50.033333,-122.533333,213,yes,,
HARB-26-5,Populus trichocarpa,Lillooet,26,HARB,92,50.033333,-122.533333,213,yes,,
HARC-26-1,Populus trichocarpa,Lillooet,26,HARC,93,49.766667,-122.216667,64,yes,,
HARC-26-2,Populus trichocarpa,Lillooet,26,HARC,93,49.766667,-122.216667,64,yes,,
HARC-26-3,Populus trichocarpa,Lillooet,26,HARC,93,49.766667,-122.216667,64,yes,,
HARC-26-4,Populus trichocarpa,Lillooet,26,HARC,93,49.766667,-122.216667,64,yes,,
HARC-26-5,Populus trichocarpa,Lillooet,26,HARC,93,49.766667,-122.216667,64,no,d<0.018 with other accession,
LILA-26-1,Populus trichocarpa,Lillooet,26,LILA,94,50.616667,-123.383333,411,no,low GR,
LILA-26-2,Populus trichocarpa,Lillooet,26,LILA,94,50.616667,-123.383333,411,yes,,
LILA-26-3,Populus trichocarpa,Lillooet,26,LILA,94,50.616667,-123.383333,411,no,d<0.018 with other accession,
LILA-26-4,Populus trichocarpa,Lillooet,26,LILA,94,50.616667,-123.383333,411,yes,,
LILA-26-5,Populus trichocarpa,Lillooet,26,LILA,94,50.616667,-123.383333,411,yes,,
LILB-26-1,Populus trichocarpa,Lillooet,26,LILB,95,50.55,-123.2,274,yes,,
LILB-26-2,Populus trichocarpa,Lillooet,26,LILB,95,50.55,-123.2,274,yes,,
LILB-26-3,Populus trichocarpa,Lillooet,26,LILB,95,50.55,-123.2,274,yes,,
LILB-26-4,Populus trichocarpa,Lillooet,26,LILB,95,50.55,-123.2,274,yes,,
LILB-26-5,Populus trichocarpa,Lillooet,26,LILB,95,50.55,-123.2,274,yes,,
LILC-26-1,Populus trichocarpa,Lillooet,26,LILC,96,50.5,-123,271,yes,,
LILC-26-2,Populus trichocarpa,Lillooet,26,LILC,96,50.5,-123,271,yes,,
LILC-26-3,Populus trichocarpa,Lillooet,26,LILC,96,50.5,-123,271,yes,,
LILC-26-4,Populus trichocarpa,Lillooet,26,LILC,96,50.5,-123,271,yes,,
LILC-26-5,Populus trichocarpa,Lillooet,26,LILC,96,50.5,-123,271,no,low GR,
LILD-26-3,Populus trichocarpa,Lillooet,26,LILD,97,50.3,-122.75,222,yes,,
LILD-26-4,Populus trichocarpa,Lillooet,26,LILD,97,50.3,-122.75,222,yes,,
LILD-26-5,Populus trichocarpa,Lillooet,26,LILD,97,50.3,-122.75,222,yes,,
CHNH-27-4,Populus trichocarpa,Fraser,27,CHNH,,?,?,?,no,low GR,
CHWH-27-1,Populus trichocarpa,Fraser,27,CHWH,98,49.1,-121.516667,480,yes,,
CHWH-27-2,Populus trichocarpa,Fraser,27,CHWH,98,49.1,-121.516667,480,no,d<0.018 with other accession,
CHWH-27-3,Populus trichocarpa,Fraser,27,CHWH,98,49.1,-121.516667,480,yes,,
CHWH-27-4,Populus trichocarpa,Fraser,27,CHWH,98,49.1,-121.516667,480,no,d<0.018 with other accession,
CHWH-27-5,Populus trichocarpa,Fraser,27,CHWH,98,49.1,-121.516667,480,yes,,
CHWI-27-4,Populus trichocarpa,Fraser,27,CHWI,99,49.1,-121.633333,360,yes,,
CHWJ-27-1,Populus trichocarpa,Fraser,27,CHWJ,100,49.083333,-121.716667,280,yes,,
CHWJ-27-2,Populus trichocarpa,Fraser,27,CHWJ,100,49.083333,-121.716667,280,no,d<0.018 with other accession,
CHWK-27-2,Populus trichocarpa,Fraser,27,CHWK,101,49.083333,-121.733333,280,yes,,
CHWK-27-3,Populus trichocarpa,Fraser,27,CHWK,101,49.083333,-121.733333,280,yes,,
CHWK-27-4,Populus trichocarpa,Fraser,27,CHWK,101,49.083333,-121.733333,280,yes,,
HOPF-27-1,Populus trichocarpa,Fraser,27,HOPF,102,49.433333,-121.433333,61,yes,,
HOPF-27-2,Populus trichocarpa,Fraser,27,HOPF,102,49.433333,-121.433333,61,yes,,
HOPF-27-3,Populus trichocarpa,Fraser,27,HOPF,102,49.433333,-121.433333,61,yes,,
HOPF-27-4,Populus trichocarpa,Fraser,27,HOPF,102,49.433333,-121.433333,61,yes,,
HOPF-27-5,Populus trichocarpa,Fraser,27,HOPF,102,49.433333,-121.433333,61,yes,,
HOPG-27-1,Populus trichocarpa,Fraser,27,HOPG,103,49.4,-121.55,500,yes,,
HOPG-27-2,Populus trichocarpa,Fraser,27,HOPG,103,49.4,-121.55,500,yes,,
HOPG-27-3,Populus trichocarpa,Fraser,27,HOPG,103,49.4,-121.55,500,no,d<0.018 with other accession,
HOPG-27-5,Populus trichocarpa,Fraser,27,HOPG,103,49.4,-121.55,500,yes,,
HRSO-27-1,Populus trichocarpa,Fraser,27,HRSO,104,49.283333,-121.95,40,yes,,
HRSO-27-2,Populus trichocarpa,Fraser,27,HRSO,104,49.283333,-121.95,40,yes,,
HRSO-27-3,Populus trichocarpa,Fraser,27,HRSO,104,49.283333,-121.95,40,no,d<0.018 with other accession,
HRSO-27-4,Populus trichocarpa,Fraser,27,HRSO,104,49.283333,-121.95,40,yes,,
HRSO-27-5,Populus trichocarpa,Fraser,27,HRSO,104,49.283333,-121.95,40,no,d<0.018 with other accession,
HRSP-27-1,Populus trichocarpa,Fraser,27,HRSP,105,49.233333,-121.85,30,yes,,
HRSP-27-3,Populus trichocarpa,Fraser,27,HRSP,105,49.233333,-121.85,30,yes,,
HRSP-27-4,Populus trichocarpa,Fraser,27,HRSP,105,49.233333,-121.85,30,yes,,
HRSP-27-5,Populus trichocarpa,Fraser,27,HRSP,105,49.233333,-121.85,30,no,d<0.018 with other accession,
MCMN-27-3,Populus trichocarpa,Fraser,27,MCMN,106,49.183333,-122.583333,15,yes,,
MCMN-27-5,Populus trichocarpa,Fraser,27,MCMN,106,49.183333,-122.583333,15,yes,,
MTSM-27-1,Populus trichocarpa,Fraser,27,MTSM,107,49.116667,-122.333333,8,yes,,
MTSM-27-2,Populus trichocarpa,Fraser,27,MTSM,107,49.116667,-122.333333,8,no,d<0.018 with other accession,
MTSM-27-3,Populus trichocarpa,Fraser,27,MTSM,107,49.116667,-122.333333,8,yes,,
MTSM-27-5,Populus trichocarpa,Fraser,27,MTSM,107,49.116667,-122.333333,8,yes,,
NHTA-27-2,Populus trichocarpa,Fraser,27,NHTA,108,50,-121.566667,213,yes,,
NHTA-27-3,Populus trichocarpa,Fraser,27,NHTA,108,50,-121.566667,213,yes,,
NHTA-27-5,Populus trichocarpa,Fraser,27,NHTA,108,50,-121.566667,213,yes,,
NHTB-27-1,Populus trichocarpa,Fraser,27,NHTB,109,49.966667,-121.816667,335,yes,,
NHTB-27-2,Populus trichocarpa,Fraser,27,NHTB,109,49.966667,-121.816667,335,yes,,
NHTB-27-3,Populus trichocarpa,Fraser,27,NHTB,109,49.966667,-121.816667,335,yes,,
NHTB-27-4,Populus trichocarpa,Fraser,27,NHTB,109,49.966667,-121.816667,335,yes,,
NHTB-27-5,Populus trichocarpa,Fraser,27,NHTB,109,49.966667,-121.816667,335,yes,,
VNDL-27-3,Populus trichocarpa,Fraser,27,VNDL,110,49.15,-122.1,20,yes,,
VNDL-27-4,Populus trichocarpa,Fraser,27,VNDL,110,49.15,-122.1,20,yes,,
VNDL-27-5,Populus trichocarpa,Fraser,27,VNDL,110,49.15,-122.1,20,yes,,
WELC-27-1,Populus trichocarpa,Fraser,27,WELC,111,49.666667,-121.416667,91,yes,,
WELC-27-2,Populus trichocarpa,Fraser,27,WELC,111,49.666667,-121.416667,91,yes,,
WELC-27-3,Populus trichocarpa,Fraser,27,WELC,111,49.666667,-121.416667,91,yes,,
WELC-27-4,Populus trichocarpa,Fraser,27,WELC,111,49.666667,-121.416667,91,yes,,
WELC-27-5,Populus trichocarpa,Fraser,27,WELC,111,49.666667,-121.416667,91,yes,,
YALD-27-2,Populus trichocarpa,Fraser,27,YALD,112,49.566667,-121.466667,549,yes,,
YALD-27-3,Populus trichocarpa,Fraser,27,YALD,112,49.566667,-121.466667,549,yes,,
YALD-27-4,Populus trichocarpa,Fraser,27,YALD,112,49.566667,-121.466667,549,yes,,
YALD-27-5,Populus trichocarpa,Fraser,27,YALD,112,49.566667,-121.466667,549,yes,,
YALE-27-1,Populus trichocarpa,Fraser,27,YALE,113,49.566667,-121.4,61,no,d<0.018 with other accession,
YALE-27-2,Populus trichocarpa,Fraser,27,YALE,113,49.566667,-121.4,61,yes,,
YALE-27-3,Populus trichocarpa,Fraser,27,YALE,113,49.566667,-121.4,61,yes,,
YALE-27-4,Populus trichocarpa,Fraser,27,YALE,113,49.566667,-121.4,61,yes,,
BLCG-28-1,Populus trichocarpa,Vancouver Island,28,BLCG,114,49.833333,-125.183333,91,yes,,
BLCG-28-3,Populus trichocarpa,Vancouver Island,28,BLCG,114,49.833333,-125.183333,91,yes,,
CMBF-28-1,Populus trichocarpa,Vancouver Island,28,CMBF,115,49.95,-125.25,76,yes,,
CMBF-28-2,Populus trichocarpa,Vancouver Island,28,CMBF,115,49.95,-125.25,76,no,low GR,
CMBF-28-3,Populus trichocarpa,Vancouver Island,28,CMBF,115,49.95,-125.25,76,yes,,
CMBF-28-4,Populus trichocarpa,Vancouver Island,28,CMBF,115,49.95,-125.25,76,yes,,
CNYH-28-1,Populus trichocarpa,Vancouver Island,28,CNYH,116,49.666667,-125.066667,76,yes,,
CNYH-28-2,Populus trichocarpa,Vancouver Island,28,CNYH,116,49.666667,-125.066667,76,yes,,
CNYH-28-3,Populus trichocarpa,Vancouver Island,28,CNYH,116,49.666667,-125.066667,76,yes,,
CNYH-28-4,Populus trichocarpa,Vancouver Island,28,CNYH,116,49.666667,-125.066667,76,yes,,
CNYH-28-5,Populus trichocarpa,Vancouver Island,28,CNYH,116,49.666667,-125.066667,76,yes,,
CSYJ-28-1,Populus trichocarpa,Vancouver Island,28,CSYJ,117,49.066667,-123.866667,20,yes,,
CSYJ-28-2,Populus trichocarpa,Vancouver Island,28,CSYJ,117,49.066667,-123.866667,20,yes,,
CSYJ-28-3,Populus trichocarpa,Vancouver Island,28,CSYJ,117,49.066667,-123.866667,20,yes,,
CSYJ-28-4,Populus trichocarpa,Vancouver Island,28,CSYJ,117,49.066667,-123.866667,20,no,d<0.018 with other accession,
FNYI-28-1,Populus trichocarpa,Vancouver Island,28,FNYI,118,49.516667,-124.85,46,yes,,
FNYI-28-2,Populus trichocarpa,Vancouver Island,28,FNYI,118,49.516667,-124.85,46,yes,,
FNYI-28-3,Populus trichocarpa,Vancouver Island,28,FNYI,118,49.516667,-124.85,46,yes,,
FNYI-28-4,Populus trichocarpa,Vancouver Island,28,FNYI,118,49.516667,-124.85,46,yes,,
FNYI-28-5,Populus trichocarpa,Vancouver Island,28,FNYI,118,49.516667,-124.85,46,yes,,
LNZK-28-2,Populus trichocarpa,Vancouver Island,28,LNZK,119,49.233333,-124.066667,60,yes,,
LNZK-28-3,Populus trichocarpa,Vancouver Island,28,LNZK,119,49.233333,-124.066667,60,yes,,
LNZK-28-4,Populus trichocarpa,Vancouver Island,28,LNZK,119,49.233333,-124.066667,60,yes,,
LNZK-28-5,Populus trichocarpa,Vancouver Island,28,LNZK,119,49.233333,-124.066667,60,yes,,
MEMA-28-1,Populus trichocarpa,Vancouver Island,28,MEMA,120,50.216667,-125.8,30,yes,,
MEMA-28-3,Populus trichocarpa,Vancouver Island,28,MEMA,120,50.216667,-125.8,30,yes,,
MEMA-28-4,Populus trichocarpa,Vancouver Island,28,MEMA,120,50.216667,-125.8,30,yes,,
MEMA-28-5,Populus trichocarpa,Vancouver Island,28,MEMA,120,50.216667,-125.8,30,yes,,
SLMB-28-1,Populus trichocarpa,Vancouver Island,28,SLMB,121,50.216667,-125.816667,30,yes,,
SLMB-28-2,Populus trichocarpa,Vancouver Island,28,SLMB,121,50.216667,-125.816667,30,yes,,
SLMB-28-3,Populus trichocarpa,Vancouver Island,28,SLMB,121,50.216667,-125.816667,30,yes,,
SLMB-28-4,Populus trichocarpa,Vancouver Island,28,SLMB,121,50.216667,-125.816667,30,yes,,
SLMC-28-1,Populus trichocarpa,Vancouver Island,28,SLMC,122,50.266667,-125.833333,30,yes,,
SLMC-28-2,Populus trichocarpa,Vancouver Island,28,SLMC,122,50.266667,-125.833333,30,yes,,
SLMC-28-3,Populus trichocarpa,Vancouver Island,28,SLMC,122,50.266667,-125.833333,30,yes,,
SLMD-28-1,Populus trichocarpa,Vancouver Island,28,SLMD,123,50.283333,-125.866667,30,yes,,
SLMD-28-3,Populus trichocarpa,Vancouver Island,28,SLMD,123,50.283333,-125.866667,30,yes,,
SLMD-28-5,Populus trichocarpa,Vancouver Island,28,SLMD,123,50.283333,-125.866667,30,yes,,
WHTE-28-1,Populus trichocarpa,Vancouver Island,28,WHTE,124,50.133333,-126.05,213,yes,,
WHTE-28-2,Populus trichocarpa,Vancouver Island,28,WHTE,124,50.133333,-126.05,213,no,d<0.018 with other accession,
WHTE-28-3,Populus trichocarpa,Vancouver Island,28,WHTE,124,50.133333,-126.05,213,yes,,
WHTE-28-4,Populus trichocarpa,Vancouver Island,28,WHTE,124,50.133333,-126.05,213,yes,,
WHTE-28-5,Populus trichocarpa,Vancouver Island,28,WHTE,124,50.133333,-126.05,213,yes,,
CARS-29-2,Populus trichocarpa,Columbia,29,CARS,125,45.75,-122.833333,650,yes,,
CARS-29-3,Populus trichocarpa,Columbia,29,CARS,125,45.75,-122.833333,650,yes,,
CARS-29-4,Populus trichocarpa,Columbia,29,CARS,125,45.75,-122.833333,650,yes,,
CARS-29-5,Populus trichocarpa,Columbia,29,CARS,125,45.75,-122.833333,650,no,d<0.018 with other accession,
LONG-29-1,Populus trichocarpa,Columbia,29,LONG,126,46.083333,-123.916667,100,no,low GR,
LONG-29-2,Populus trichocarpa,Columbia,29,LONG,126,46.083333,-123.916667,100,yes,,
LONG-29-3,Populus trichocarpa,Columbia,29,LONG,126,46.083333,-123.916667,100,no,d<0.018 with other accession,
LONG-29-4,Populus trichocarpa,Columbia,29,LONG,126,46.083333,-123.916667,100,yes,,
LONG-29-5,Populus trichocarpa,Columbia,29,LONG,126,46.083333,-123.916667,100,yes,,
NBON-29-1,Populus trichocarpa,Columbia,29,NBON,127,45.583333,-122,300,yes,,
NBON-29-2,Populus trichocarpa,Columbia,29,NBON,127,45.583333,-122,300,yes,,
NBON-29-4,Populus trichocarpa,Columbia,29,NBON,127,45.583333,-122,300,yes,,
PITS-29-1,Populus trichocarpa,Columbia,29,PITS,128,45.833333,-123.116667,900,yes,,
PITS-29-2,Populus trichocarpa,Columbia,29,PITS,128,45.833333,-123.116667,900,no,d<0.018 with other accession,
PITS-29-3,Populus trichocarpa,Columbia,29,PITS,128,45.833333,-123.116667,900,no,d<0.018 with other accession,
PITS-29-4,Populus trichocarpa,Columbia,29,PITS,128,45.833333,-123.116667,900,no,d<0.018 with other accession,
PITS-29-5,Populus trichocarpa,Columbia,29,PITS,128,45.833333,-123.116667,900,no,d<0.018 with other accession,
HALS-30-1,Populus trichocarpa,Willamette,30,HALS,129,44.416667,-123.333333,300,yes,,
HALS-30-2,Populus trichocarpa,Willamette,30,HALS,129,44.416667,-123.333333,300,yes,,
HALS-30-4,Populus trichocarpa,Willamette,30,HALS,129,44.416667,-123.333333,300,yes,,
HALS-30-6,Populus trichocarpa,Willamette,30,HALS,129,44.416667,-123.333333,300,no,d<0.018 with other accession,
JASP-30-1,Populus trichocarpa,Willamette,30,JASP,130,44,-122.916667,150,yes,,
JASP-30-3,Populus trichocarpa,Willamette,30,JASP,130,44,-122.916667,150,yes,,
JASP-30-4,Populus trichocarpa,Willamette,30,JASP,130,44,-122.916667,150,yes,,
JASP-30-5,Populus trichocarpa,Willamette,30,JASP,130,44,-122.916667,150,yes,,
JEFF-30-1,Populus trichocarpa,Willamette,30,JEFF,131,44.733333,-123.083333,100,yes,,
JEFF-30-2,Populus trichocarpa,Willamette,30,JEFF,131,44.733333,-123.083333,100,yes,,
JEFF-30-3,Populus trichocarpa,Willamette,30,JEFF,131,44.733333,-123.083333,100,yes,,
JEFF-30-4,Populus trichocarpa,Willamette,30,JEFF,131,44.733333,-123.083333,100,yes,,
LAFY-30-1,Populus trichocarpa,Willamette,30,LAFY,132,45.2,-123.083333,100,yes,,
LAFY-30-2,Populus trichocarpa,Willamette,30,LAFY,132,45.2,-123.083333,100,yes,,
LAFY-30-3,Populus trichocarpa,Willamette,30,LAFY,132,45.2,-123.083333,100,yes,,
LAFY-30-5,Populus trichocarpa,Willamette,30,LAFY,132,45.2,-123.083333,100,yes,,
NPLN-30-3,Populus trichocarpa,Willamette,30,NPLN,133,45.566667,-123,100,yes,,
NPLN-30-4,Populus trichocarpa,Willamette,30,NPLN,133,45.566667,-123,100,yes,,
NPLN-30-5,Populus trichocarpa,Willamette,30,NPLN,133,45.566667,-123,100,no,d<0.018 with other accession,
CGYO-31-8,Populus balsamifera,Calgary,31,CGYO,,50.82,-113.42,?,no,Populus balsamifera,
DENO-31-1,Populus balsamifera,Denali National Park,31,DENO,,63.87,-149.02,?,no,Populus balsamifera,
FBKO-31-10,Populus balsamifera,Fairbanks,31,FBKO,,64.9,-146.35,?,no,Populus balsamifera,
FTMO-31-2,Populus balsamifera,Fort McMurray,31,FTMO,,56.92,-111.5,?,no,Populus balsamifera,
GILL-31-1,Populus balsamifera,Gillam,31,GILL,,56.35,-94.63,?,no,Populus balsamifera,
GPRO-31-1,Populus balsamifera,Grand Prairie,31,GPRO,,54.75,-118.63,?,no,Populus balsamifera,
HAYO-31-6,Populus balsamifera,Hay River,31,HAYO,,60.8,-115.78,?,no,Populus balsamifera,
INUO-31-9,Populus balsamifera,Inuvik,31,INUO,,68.38,-133.77,?,no,Populus balsamifera,
NWLO-31-10,Populus balsamifera,Norman Wells,31,NWLO,,65.23,-126.67,?,no,Populus balsamifera,
WHRO-31-1,Populus balsamifera,White Horse,31,WHRO,,60.7,-135.33,?,no,Populus balsamifera,
aDrainage ID in the analyses based on drainages ,,,,,,,,,,,
bLocation ID for the Bayenv2 analyses ,,,,,,,,,,,
